Product Name,Division,Region,Ship Mode,Current Factory,Candidate Factory,IsCurrent,OrderCount,Sales,CurrentLeadTime,PredictedLeadTime,LeadTimeChangeDays,LeadTimeReductionPct,CurrentMargin,PredictedMargin,ProfitImpact
Fizzy Lifting Drinks,Sugar,Atlantic,Standard Class,Sugar Shack,Lot's O' Nuts,False,1,18.75,7.46,11.22,3.76,-50.4,0.6,0.5492,-0.95
Fizzy Lifting Drinks,Sugar,Atlantic,Standard Class,Sugar Shack,Wicked Choccy's,False,1,18.75,7.46,5.15,-2.31,31.0,0.6,0.6248,0.46
Fizzy Lifting Drinks,Sugar,Atlantic,Standard Class,Sugar Shack,Sugar Shack,True,1,18.75,7.46,7.2,-0.26,3.5,0.6,0.6,0.0
Fizzy Lifting Drinks,Sugar,Atlantic,Standard Class,Sugar Shack,Secret Factory,False,1,18.75,7.46,5.31,-2.15,28.8,0.6,0.6208,0.39
Fizzy Lifting Drinks,Sugar,Atlantic,Standard Class,Sugar Shack,The Other Factory,False,1,18.75,7.46,5.83,-1.63,21.8,0.6,0.6155,0.29
Fizzy Lifting Drinks,Sugar,Gulf,Standard Class,Sugar Shack,Lot's O' Nuts,False,1,15.0,8.96,10.48,1.52,-17.0,0.6,0.592,-0.12
Fizzy Lifting Drinks,Sugar,Gulf,Standard Class,Sugar Shack,Wicked Choccy's,False,1,15.0,8.96,3.49,-5.47,61.1,0.6,0.6488,0.73
Fizzy Lifting Drinks,Sugar,Gulf,Standard Class,Sugar Shack,Sugar Shack,True,1,15.0,8.96,9.5,0.54,-6.1,0.6,0.6,0.0
Fizzy Lifting Drinks,Sugar,Gulf,Standard Class,Sugar Shack,Secret Factory,False,1,15.0,8.96,7.17,-1.79,19.9,0.6,0.62,0.3
Fizzy Lifting Drinks,Sugar,Gulf,Standard Class,Sugar Shack,The Other Factory,False,1,15.0,8.96,5.47,-3.49,38.9,0.6,0.6337,0.51
Fizzy Lifting Drinks,Sugar,Interior,First Class,Sugar Shack,Lot's O' Nuts,False,1,7.5,2.6,3.56,0.96,-37.1,0.6,0.5332,-0.5
Fizzy Lifting Drinks,Sugar,Interior,First Class,Sugar Shack,Wicked Choccy's,False,1,7.5,2.6,2.43,-0.17,6.5,0.6,0.5928,-0.05
Fizzy Lifting Drinks,Sugar,Interior,First Class,Sugar Shack,Sugar Shack,True,1,7.5,2.6,2.21,-0.39,15.2,0.6,0.6,0.0
Fizzy Lifting Drinks,Sugar,Interior,First Class,Sugar Shack,Secret Factory,False,1,7.5,2.6,0.95,-1.65,63.5,0.6,0.6496,0.37
Fizzy Lifting Drinks,Sugar,Interior,First Class,Sugar Shack,The Other Factory,False,1,7.5,2.6,1.69,-0.91,35.0,0.6,0.6259,0.19
Fizzy Lifting Drinks,Sugar,Interior,Standard Class,Sugar Shack,Lot's O' Nuts,False,1,11.25,4.82,9.58,4.76,-98.7,0.6,0.5091,-1.02
Fizzy Lifting Drinks,Sugar,Interior,Standard Class,Sugar Shack,Wicked Choccy's,False,1,11.25,4.82,5.74,0.92,-19.0,0.6,0.5863,-0.15
Fizzy Lifting Drinks,Sugar,Interior,Standard Class,Sugar Shack,Sugar Shack,True,1,11.25,4.82,5.11,0.29,-6.1,0.6,0.6,0.0
Fizzy Lifting Drinks,Sugar,Interior,Standard Class,Sugar Shack,Secret Factory,False,1,11.25,4.82,3.52,-1.3,27.0,0.6,0.6292,0.33
Fizzy Lifting Drinks,Sugar,Interior,Standard Class,Sugar Shack,The Other Factory,False,1,11.25,4.82,5.19,0.37,-7.7,0.6,0.6013,0.01
Fizzy Lifting Drinks,Sugar,Pacific,Standard Class,Sugar Shack,Lot's O' Nuts,False,1,11.25,8.28,2.53,-5.75,69.5,0.6,0.6571,0.64
Fizzy Lifting Drinks,Sugar,Pacific,Standard Class,Sugar Shack,Wicked Choccy's,False,1,11.25,8.28,10.17,1.89,-22.8,0.6,0.5769,-0.26
Fizzy Lifting Drinks,Sugar,Pacific,Standard Class,Sugar Shack,Sugar Shack,True,1,11.25,8.28,8.09,-0.19,2.3,0.6,0.6,0.0
Fizzy Lifting Drinks,Sugar,Pacific,Standard Class,Sugar Shack,Secret Factory,False,1,11.25,8.28,7.69,-0.59,7.1,0.6,0.6006,0.01
Fizzy Lifting Drinks,Sugar,Pacific,Standard Class,Sugar Shack,The Other Factory,False,1,11.25,8.28,7.76,-0.52,6.3,0.6,0.6021,0.02
Fun Dip,Sugar,Atlantic,Standard Class,Sugar Shack,Lot's O' Nuts,False,1,6.0,6.57,11.81,5.24,-79.7,0.4,0.3197,-0.48
Fun Dip,Sugar,Atlantic,Standard Class,Sugar Shack,Wicked Choccy's,False,1,6.0,6.57,5.73,-0.84,12.7,0.4,0.4272,0.16
Fun Dip,Sugar,Atlantic,Standard Class,Sugar Shack,Sugar Shack,True,1,6.0,6.57,7.15,0.58,-8.9,0.4,0.4,0.0
Fun Dip,Sugar,Atlantic,Standard Class,Sugar Shack,Secret Factory,False,1,6.0,6.57,5.74,-0.83,12.6,0.4,0.4247,0.15
Fun Dip,Sugar,Atlantic,Standard Class,Sugar Shack,The Other Factory,False,1,6.0,6.57,6.6,0.03,-0.4,0.4,0.4134,0.08
Fun Dip,Sugar,Gulf,Second Class,Sugar Shack,Lot's O' Nuts,False,1,1.5,4.5,5.99,1.49,-33.1,0.4,0.358,-0.06
Fun Dip,Sugar,Gulf,Second Class,Sugar Shack,Wicked Choccy's,False,1,1.5,4.5,2.78,-1.72,38.2,0.4,0.4525,0.08
Fun Dip,Sugar,Gulf,Second Class,Sugar Shack,Sugar Shack,True,1,1.5,4.5,4.54,0.04,-0.8,0.4,0.4,0.0
Fun Dip,Sugar,Gulf,Second Class,Sugar Shack,Secret Factory,False,1,1.5,4.5,2.96,-1.54,34.2,0.4,0.4492,0.07
Fun Dip,Sugar,Gulf,Second Class,Sugar Shack,The Other Factory,False,1,1.5,4.5,2.09,-2.41,53.5,0.4,0.4726,0.11
Fun Dip,Sugar,Interior,Second Class,Sugar Shack,Lot's O' Nuts,False,1,4.5,3.74,5.67,1.93,-51.5,0.4,0.2999,-0.45
Fun Dip,Sugar,Interior,Second Class,Sugar Shack,Wicked Choccy's,False,1,4.5,3.74,3.78,0.04,-1.1,0.4,0.3892,-0.05
Fun Dip,Sugar,Interior,Second Class,Sugar Shack,Sugar Shack,True,1,4.5,3.74,3.53,-0.21,5.7,0.4,0.4,-0.0
Fun Dip,Sugar,Interior,Second Class,Sugar Shack,Secret Factory,False,1,4.5,3.74,1.88,-1.86,49.8,0.4,0.4743,0.33
Fun Dip,Sugar,Interior,Second Class,Sugar Shack,The Other Factory,False,1,4.5,3.74,2.9,-0.84,22.5,0.4,0.4389,0.18
Hair Toffee,Sugar,Atlantic,Standard Class,The Other Factory,Lot's O' Nuts,False,1,22.5,7.08,11.85,4.77,-67.4,0.7778,0.737,-0.92
Hair Toffee,Sugar,Atlantic,Standard Class,The Other Factory,Wicked Choccy's,False,1,22.5,7.08,5.77,-1.31,18.5,0.7778,0.7838,0.13
Hair Toffee,Sugar,Atlantic,Standard Class,The Other Factory,Sugar Shack,False,1,22.5,7.08,7.2,0.12,-1.7,0.7778,0.7719,-0.13
Hair Toffee,Sugar,Atlantic,Standard Class,The Other Factory,Secret Factory,False,1,22.5,7.08,5.79,-1.29,18.2,0.7778,0.7827,0.11
Hair Toffee,Sugar,Atlantic,Standard Class,The Other Factory,The Other Factory,True,1,22.5,7.08,6.64,-0.44,6.2,0.7778,0.7778,0.0
Hair Toffee,Sugar,Gulf,Same Day,The Other Factory,Lot's O' Nuts,False,1,9.0,0.63,1.61,0.98,-155.5,0.7778,0.7049,-0.66
Hair Toffee,Sugar,Gulf,Same Day,The Other Factory,Wicked Choccy's,False,1,9.0,0.63,0.67,0.04,-6.1,0.7778,0.7962,0.17
Hair Toffee,Sugar,Gulf,Same Day,The Other Factory,Sugar Shack,False,1,9.0,0.63,1.12,0.49,-77.7,0.7778,0.7413,-0.33
Hair Toffee,Sugar,Gulf,Same Day,The Other Factory,Secret Factory,False,1,9.0,0.63,0.87,0.24,-37.8,0.7778,0.7701,-0.07
Hair Toffee,Sugar,Gulf,Same Day,The Other Factory,The Other Factory,True,1,9.0,0.63,0.8,0.17,-26.7,0.7778,0.7778,0.0
Hair Toffee,Sugar,Pacific,First Class,The Other Factory,Lot's O' Nuts,False,1,22.5,3.57,0.99,-2.58,72.4,0.7778,0.8094,0.71
Hair Toffee,Sugar,Pacific,First Class,The Other Factory,Wicked Choccy's,False,1,22.5,3.57,4.25,0.68,-19.2,0.7778,0.7633,-0.33
Hair Toffee,Sugar,Pacific,First Class,The Other Factory,Sugar Shack,False,1,22.5,3.57,3.4,-0.17,4.8,0.7778,0.7766,-0.03
Hair Toffee,Sugar,Pacific,First Class,The Other Factory,Secret Factory,False,1,22.5,3.57,3.19,-0.38,10.6,0.7778,0.7769,-0.02
Hair Toffee,Sugar,Pacific,First Class,The Other Factory,The Other Factory,True,1,22.5,3.57,3.25,-0.32,9.1,0.7778,0.7778,0.0
Hair Toffee,Sugar,Pacific,Standard Class,The Other Factory,Lot's O' Nuts,False,1,22.5,9.66,4.5,-5.16,53.4,0.7778,0.801,0.52
Hair Toffee,Sugar,Pacific,Standard Class,The Other Factory,Wicked Choccy's,False,1,22.5,9.66,12.27,2.61,-27.0,0.7778,0.7668,-0.25
Hair Toffee,Sugar,Pacific,Standard Class,The Other Factory,Sugar Shack,False,1,22.5,9.66,8.88,-0.78,8.1,0.7778,0.782,0.1
Hair Toffee,Sugar,Pacific,Standard Class,The Other Factory,Secret Factory,False,1,22.5,9.66,9.33,-0.33,3.4,0.7778,0.779,0.03
Hair Toffee,Sugar,Pacific,Standard Class,The Other Factory,The Other Factory,True,1,22.5,9.66,9.69,0.03,-0.3,0.7778,0.7778,0.0
Kazookles,Other,Atlantic,First Class,The Other Factory,Lot's O' Nuts,False,5,78.0,2.37,4.5,2.13,-89.6,0.0769,-0.1169,-15.12
Kazookles,Other,Atlantic,First Class,The Other Factory,Wicked Choccy's,False,5,78.0,2.37,2.17,-0.2,8.5,0.0769,0.1034,2.06
Kazookles,Other,Atlantic,First Class,The Other Factory,Sugar Shack,False,5,78.0,2.37,3.12,0.74,-31.2,0.0769,0.0385,-3.0
Kazookles,Other,Atlantic,First Class,The Other Factory,Secret Factory,False,5,78.0,2.37,2.38,0.01,-0.2,0.0769,0.0963,1.51
Kazookles,Other,Atlantic,First Class,The Other Factory,The Other Factory,True,5,78.0,2.37,2.39,0.01,-0.5,0.0769,0.0773,0.03
Kazookles,Other,Atlantic,Same Day,The Other Factory,Lot's O' Nuts,False,2,19.5,1.67,2.16,0.49,-29.5,0.0769,-0.1096,-3.64
Kazookles,Other,Atlantic,Same Day,The Other Factory,Wicked Choccy's,False,2,19.5,1.67,1.18,-0.49,29.3,0.0769,0.1037,0.52
Kazookles,Other,Atlantic,Same Day,The Other Factory,Sugar Shack,False,2,19.5,1.67,1.54,-0.13,7.6,0.0769,0.0419,-0.68
Kazookles,Other,Atlantic,Same Day,The Other Factory,Secret Factory,False,2,19.5,1.67,1.36,-0.3,18.2,0.0769,0.0957,0.37
Kazookles,Other,Atlantic,Same Day,The Other Factory,The Other Factory,True,2,19.5,1.67,1.33,-0.33,19.9,0.0769,0.0769,-0.0
Kazookles,Other,Atlantic,Second Class,The Other Factory,Lot's O' Nuts,False,8,110.5,4.34,7.76,3.42,-78.9,0.0769,-0.0907,-18.52
Kazookles,Other,Atlantic,Second Class,The Other Factory,Wicked Choccy's,False,8,110.5,4.34,3.82,-0.52,11.9,0.0769,0.1047,3.07
Kazookles,Other,Atlantic,Second Class,The Other Factory,Sugar Shack,False,8,110.5,4.34,4.89,0.55,-12.7,0.0769,0.0507,-2.9
Kazookles,Other,Atlantic,Second Class,The Other Factory,Secret Factory,False,8,110.5,4.34,3.99,-0.35,8.0,0.0769,0.0955,2.05
Kazookles,Other,Atlantic,Second Class,The Other Factory,The Other Factory,True,8,110.5,4.34,4.06,-0.28,6.5,0.0769,0.0773,0.04
Kazookles,Other,Atlantic,Standard Class,The Other Factory,Lot's O' Nuts,False,22,276.25,6.06,11.46,5.4,-89.1,0.0769,-0.1035,-49.85
Kazookles,Other,Atlantic,Standard Class,The Other Factory,Wicked Choccy's,False,22,276.25,6.06,5.52,-0.55,9.0,0.0769,0.1065,8.18
Kazookles,Other,Atlantic,Standard Class,The Other Factory,Sugar Shack,False,22,276.25,6.06,7.28,1.21,-20.0,0.0769,0.0424,-9.53
Kazookles,Other,Atlantic,Standard Class,The Other Factory,Secret Factory,False,22,276.25,6.06,5.72,-0.34,5.7,0.0769,0.0941,4.74
Kazookles,Other,Atlantic,Standard Class,The Other Factory,The Other Factory,True,22,276.25,6.06,6.43,0.37,-6.1,0.0769,0.0773,0.09
Kazookles,Other,Gulf,First Class,The Other Factory,Lot's O' Nuts,False,4,42.25,1.99,4.12,2.13,-107.2,0.0769,-0.1828,-10.97
Kazookles,Other,Gulf,First Class,The Other Factory,Wicked Choccy's,False,4,42.25,1.99,0.86,-1.13,56.6,0.0769,0.2032,5.34
Kazookles,Other,Gulf,First Class,The Other Factory,Sugar Shack,False,4,42.25,1.99,3.41,1.42,-71.6,0.0769,-0.0822,-6.72
Kazookles,Other,Gulf,First Class,The Other Factory,Secret Factory,False,4,42.25,1.99,2.44,0.45,-22.6,0.0769,0.038,-1.65
Kazookles,Other,Gulf,First Class,The Other Factory,The Other Factory,True,4,42.25,1.99,1.73,-0.26,12.9,0.0769,0.0994,0.95
Kazookles,Other,Gulf,Same Day,The Other Factory,Lot's O' Nuts,False,2,29.25,0.81,1.54,0.73,-89.0,0.0769,-0.2541,-9.68
Kazookles,Other,Gulf,Same Day,The Other Factory,Wicked Choccy's,False,2,29.25,0.81,0.93,0.12,-14.7,0.0769,0.1098,0.96
Kazookles,Other,Gulf,Same Day,The Other Factory,Sugar Shack,False,2,29.25,0.81,1.24,0.43,-52.4,0.0769,-0.064,-4.12
Kazookles,Other,Gulf,Same Day,The Other Factory,Secret Factory,False,2,29.25,0.81,0.87,0.05,-6.5,0.0769,0.0665,-0.3
Kazookles,Other,Gulf,Same Day,The Other Factory,The Other Factory,True,2,29.25,0.81,0.81,-0.0,0.3,0.0769,0.078,0.03
Kazookles,Other,Gulf,Second Class,The Other Factory,Lot's O' Nuts,False,3,26.0,2.4,6.0,3.6,-150.2,0.0769,-0.3871,-12.06
Kazookles,Other,Gulf,Second Class,The Other Factory,Wicked Choccy's,False,3,26.0,2.4,2.6,0.21,-8.6,0.0769,0.0785,0.04
Kazookles,Other,Gulf,Second Class,The Other Factory,Sugar Shack,False,3,26.0,2.4,4.86,2.46,-102.7,0.0769,-0.2484,-8.46
Kazookles,Other,Gulf,Second Class,The Other Factory,Secret Factory,False,3,26.0,2.4,3.53,1.13,-47.2,0.0769,-0.027,-2.7
Kazookles,Other,Gulf,Second Class,The Other Factory,The Other Factory,True,3,26.0,2.4,2.42,0.02,-0.9,0.0769,0.1227,1.19
Kazookles,Other,Gulf,Standard Class,The Other Factory,Lot's O' Nuts,False,9,156.0,4.2,9.55,5.35,-127.4,0.0769,-0.3295,-63.4
Kazookles,Other,Gulf,Standard Class,The Other Factory,Wicked Choccy's,False,9,156.0,4.2,3.0,-1.2,28.5,0.0769,0.1485,11.16
Kazookles,Other,Gulf,Standard Class,The Other Factory,Sugar Shack,False,9,156.0,4.2,7.53,3.33,-79.2,0.0769,-0.1775,-39.69
Kazookles,Other,Gulf,Standard Class,The Other Factory,Secret Factory,False,9,156.0,4.2,5.14,0.94,-22.3,0.0769,0.0014,-11.79
Kazookles,Other,Gulf,Standard Class,The Other Factory,The Other Factory,True,9,156.0,4.2,3.95,-0.25,6.0,0.0769,0.0909,2.18
Kazookles,Other,Interior,First Class,The Other Factory,Lot's O' Nuts,False,2,22.75,1.26,2.46,1.2,-95.3,0.0769,-0.0081,-1.93
Kazookles,Other,Interior,First Class,The Other Factory,Wicked Choccy's,False,2,22.75,1.26,2.7,1.44,-114.4,0.0769,-0.0427,-2.72
Kazookles,Other,Interior,First Class,The Other Factory,Sugar Shack,False,2,22.75,1.26,3.36,2.1,-166.6,0.0769,-0.0984,-3.99
Kazookles,Other,Interior,First Class,The Other Factory,Secret Factory,False,2,22.75,1.26,2.44,1.18,-93.5,0.0769,-0.0015,-1.78
Kazookles,Other,Interior,First Class,The Other Factory,The Other Factory,True,2,22.75,1.26,1.7,0.44,-35.1,0.0769,0.0769,0.0
Kazookles,Other,Interior,Second Class,The Other Factory,Lot's O' Nuts,False,2,19.5,3.11,4.03,0.92,-29.5,0.0769,-0.0081,-1.66
Kazookles,Other,Interior,Second Class,The Other Factory,Wicked Choccy's,False,2,19.5,3.11,4.33,1.22,-39.3,0.0769,-0.0427,-2.33
Kazookles,Other,Interior,Second Class,The Other Factory,Sugar Shack,False,2,19.5,3.11,5.27,2.16,-69.3,0.0769,-0.0984,-3.42
Kazookles,Other,Interior,Second Class,The Other Factory,Secret Factory,False,2,19.5,3.11,4.0,0.89,-28.7,0.0769,-0.0015,-1.53
Kazookles,Other,Interior,Second Class,The Other Factory,The Other Factory,True,2,19.5,3.11,3.06,-0.05,1.5,0.0769,0.0769,0.0
Kazookles,Other,Interior,Standard Class,The Other Factory,Lot's O' Nuts,False,7,84.5,4.24,6.56,2.33,-55.0,0.0769,-0.07,-12.42
Kazookles,Other,Interior,Standard Class,The Other Factory,Wicked Choccy's,False,7,84.5,4.24,5.87,1.63,-38.5,0.0769,-0.03,-9.04
Kazookles,Other,Interior,Standard Class,The Other Factory,Sugar Shack,False,7,84.5,4.24,7.13,2.89,-68.3,0.0769,-0.0885,-13.97
Kazookles,Other,Interior,Standard Class,The Other Factory,Secret Factory,False,7,84.5,4.24,5.02,0.78,-18.5,0.0769,0.0329,-3.72
Kazookles,Other,Interior,Standard Class,The Other Factory,The Other Factory,True,7,84.5,4.24,3.42,-0.82,19.3,0.0769,0.1196,3.6
Kazookles,Other,Pacific,First Class,The Other Factory,Lot's O' Nuts,False,5,48.75,3.86,2.04,-1.82,47.2,0.0769,0.1674,4.41
Kazookles,Other,Pacific,First Class,The Other Factory,Wicked Choccy's,False,5,48.75,3.86,4.87,1.01,-26.3,0.0769,0.0319,-2.19
Kazookles,Other,Pacific,First Class,The Other Factory,Sugar Shack,False,5,48.75,3.86,3.52,-0.34,8.7,0.0769,0.1024,1.24
Kazookles,Other,Pacific,First Class,The Other Factory,Secret Factory,False,5,48.75,3.86,3.84,-0.02,0.5,0.0769,0.0862,0.45
Kazookles,Other,Pacific,First Class,The Other Factory,The Other Factory,True,5,48.75,3.86,3.95,0.09,-2.5,0.0769,0.0779,0.05
Kazookles,Other,Pacific,Same Day,The Other Factory,Lot's O' Nuts,False,2,22.75,1.66,0.83,-0.82,49.7,0.0769,0.1735,2.2
Kazookles,Other,Pacific,Same Day,The Other Factory,Wicked Choccy's,False,2,22.75,1.66,1.99,0.34,-20.5,0.0769,0.0314,-1.04
Kazookles,Other,Pacific,Same Day,The Other Factory,Sugar Shack,False,2,22.75,1.66,1.54,-0.12,7.2,0.0769,0.0945,0.4
Kazookles,Other,Pacific,Same Day,The Other Factory,Secret Factory,False,2,22.75,1.66,1.58,-0.08,4.8,0.0769,0.082,0.12
Kazookles,Other,Pacific,Same Day,The Other Factory,The Other Factory,True,2,22.75,1.66,1.52,-0.13,8.1,0.0769,0.0769,0.0
Kazookles,Other,Pacific,Second Class,The Other Factory,Lot's O' Nuts,False,8,97.5,6.15,2.85,-3.3,53.6,0.0769,0.1766,9.72
Kazookles,Other,Pacific,Second Class,The Other Factory,Wicked Choccy's,False,8,97.5,6.15,7.5,1.34,-21.8,0.0769,0.0283,-4.75
Kazookles,Other,Pacific,Second Class,The Other Factory,Sugar Shack,False,8,97.5,6.15,5.52,-0.63,10.3,0.0769,0.098,2.06
Kazookles,Other,Pacific,Second Class,The Other Factory,Secret Factory,False,8,97.5,6.15,6.04,-0.12,1.9,0.0769,0.0847,0.76
Kazookles,Other,Pacific,Second Class,The Other Factory,The Other Factory,True,8,97.5,6.15,6.14,-0.01,0.2,0.0769,0.078,0.11
Kazookles,Other,Pacific,Standard Class,The Other Factory,Lot's O' Nuts,False,15,172.25,9.51,5.0,-4.51,47.4,0.0769,0.1645,15.09
Kazookles,Other,Pacific,Standard Class,The Other Factory,Wicked Choccy's,False,15,172.25,9.51,12.2,2.69,-28.3,0.0769,0.0331,-7.55
Kazookles,Other,Pacific,Standard Class,The Other Factory,Sugar Shack,False,15,172.25,9.51,8.11,-1.4,14.7,0.0769,0.1072,5.21
Kazookles,Other,Pacific,Standard Class,The Other Factory,Secret Factory,False,15,172.25,9.51,9.01,-0.51,5.3,0.0769,0.0893,2.13
Kazookles,Other,Pacific,Standard Class,The Other Factory,The Other Factory,True,15,172.25,9.51,9.5,-0.02,0.2,0.0769,0.0793,0.41
Laffy Taffy,Sugar,Atlantic,First Class,Sugar Shack,Lot's O' Nuts,False,1,1.99,3.7,4.92,1.22,-33.1,0.6231,0.5727,-0.1
Laffy Taffy,Sugar,Atlantic,First Class,Sugar Shack,Wicked Choccy's,False,1,1.99,3.7,2.43,-1.27,34.2,0.6231,0.6402,0.03
Laffy Taffy,Sugar,Atlantic,First Class,Sugar Shack,Sugar Shack,True,1,1.99,3.7,3.16,-0.54,14.7,0.6231,0.6231,0.0
Laffy Taffy,Sugar,Atlantic,First Class,Sugar Shack,Secret Factory,False,1,1.99,3.7,2.34,-1.36,36.8,0.6231,0.6386,0.03
Laffy Taffy,Sugar,Atlantic,First Class,Sugar Shack,The Other Factory,False,1,1.99,3.7,2.68,-1.02,27.5,0.6231,0.6315,0.02
Laffy Taffy,Sugar,Atlantic,Same Day,Sugar Shack,Lot's O' Nuts,False,1,7.96,1.23,1.54,0.31,-25.1,0.6231,0.5679,-0.44
Laffy Taffy,Sugar,Atlantic,Same Day,Sugar Shack,Wicked Choccy's,False,1,7.96,1.23,0.87,-0.36,29.6,0.6231,0.641,0.14
Laffy Taffy,Sugar,Atlantic,Same Day,Sugar Shack,Sugar Shack,True,1,7.96,1.23,1.09,-0.14,11.6,0.6231,0.6231,0.0
Laffy Taffy,Sugar,Atlantic,Same Day,Sugar Shack,Secret Factory,False,1,7.96,1.23,0.84,-0.39,31.8,0.6231,0.6521,0.23
Laffy Taffy,Sugar,Atlantic,Same Day,Sugar Shack,The Other Factory,False,1,7.96,1.23,0.85,-0.38,31.0,0.6231,0.644,0.17
Laffy Taffy,Sugar,Atlantic,Standard Class,Sugar Shack,Lot's O' Nuts,False,4,17.91,7.5,11.81,4.31,-57.4,0.6231,0.5765,-0.83
Laffy Taffy,Sugar,Atlantic,Standard Class,Sugar Shack,Wicked Choccy's,False,4,17.91,7.5,5.52,-1.98,26.4,0.6231,0.6444,0.38
Laffy Taffy,Sugar,Atlantic,Standard Class,Sugar Shack,Sugar Shack,True,4,17.91,7.5,7.35,-0.15,2.0,0.6231,0.6232,0.0
Laffy Taffy,Sugar,Atlantic,Standard Class,Sugar Shack,Secret Factory,False,4,17.91,7.5,5.84,-1.66,22.2,0.6231,0.6396,0.3
Laffy Taffy,Sugar,Atlantic,Standard Class,Sugar Shack,The Other Factory,False,4,17.91,7.5,6.56,-0.94,12.5,0.6231,0.6344,0.2
Laffy Taffy,Sugar,Gulf,Standard Class,Sugar Shack,Lot's O' Nuts,False,2,21.89,9.39,10.49,1.1,-11.7,0.6231,0.6155,-0.17
Laffy Taffy,Sugar,Gulf,Standard Class,Sugar Shack,Wicked Choccy's,False,2,21.89,9.39,3.49,-5.91,62.9,0.6231,0.6691,1.01
Laffy Taffy,Sugar,Gulf,Standard Class,Sugar Shack,Sugar Shack,True,2,21.89,9.39,9.54,0.14,-1.5,0.6231,0.6231,0.0
Laffy Taffy,Sugar,Gulf,Standard Class,Sugar Shack,Secret Factory,False,2,21.89,9.39,7.19,-2.2,23.4,0.6231,0.642,0.41
Laffy Taffy,Sugar,Gulf,Standard Class,Sugar Shack,The Other Factory,False,2,21.89,9.39,5.47,-3.93,41.8,0.6231,0.6549,0.7
Laffy Taffy,Sugar,Interior,First Class,Sugar Shack,Lot's O' Nuts,False,1,1.99,1.8,4.25,2.45,-136.3,0.6231,0.5375,-0.17
